/ID	Name	Year Published	Min Players	Max Players	Play Time	Min Age	Users Rated	Rating Average	BGG Rank	Complexity Average	Owned Users	Mechanics	Domains
97875	Wiraqocha	2011	2	4	60	12	472	6.58	4153	2.67	732	Action Points. Area Majority / Influence. Dice Rolling. Modular Board. Set Collection. Worker Placement	Strategy Games
69234	Operation Dauntless: The Battles for Fontenay and Rauray. France. June 1944	2016	2	2	120	12	209	7.94	4154	4	1029	Dice Rolling. Hexagon Grid. Simulation	Wargames
3414	Yom Kippur: The Battle for the Sinai. October. 1973	1995	2	2	240	12	349	6.96	4155	2.58	1264	Dice Rolling. Hexagon Grid. Simulation. Zone of Control	Wargames
149620	Decision at Elst: An Advanced Squad Leader Starter Kit Historical Module	2014	2	2	720	0	177	8.48	4156	3.82	1004	Hexagon Grid	Wargames
129976	Game of Thrones: The Card Game	2012	2	2	60	14	887	6.26	4157	2.70	2324	Hand Management. Simultaneous Action Selection. Variable Player Powers	Thematic Games
147614	Crazy Time	2013	4	7	30	12	350	6.87	4158	1.62	546	Memory. Pattern Recognition	Party Games
181176	Council of Blackthorn	2016	2	6	90	13	327	7.34	4159	2.36	559	Area Majority / Influence. Dice Rolling. Hand Management. Roll / Spin and Move. Variable Player Powers	
22420	Battles of Napoleon: The Eagle and the Lion	2010	2	2	90	12	293	7.33	4160	3.68	833	Campaign / Battle Card Driven. Hexagon Grid. Modular Board. Simulation	Wargames
263155	One Key	2019	2	6	20	8	515	6.53	4161	1.38	981	Betting and Bluffing. Communication Limits. Cooperative Game. Pattern Recognition	
238889	Tales of the Northlands: The Sagas of Noggin the Nog	2018	1	4	150	8	232	7.62	4162	3.82	511	Action Points. Cooperative Game. Set Collection. Tile Placement. Variable Phase Order. Worker Placement	Strategy Games
1413	Attack Sub	1991	2	2	30	12	480	6.59	4163	2.30	968	Campaign / Battle Card Driven	Wargames
118023	Keltis: Das Wrfelspiel	2012	2	4	30	8	524	6.47	4164	1.25	727	Dice Rolling. Set Collection	Family Games
204675	The Arrival	2016	2	4	90	12	420	6.71	4165	2.65	920	Action Points. Area Majority / Influence. Hand Management. Point to Point Movement. Simultaneous Action Selection	Strategy Games
194553	Dairyman	2016	2	4	30	14	621	6.39	4166	1.07	1291	Dice Rolling. Push Your Luck	
84869	Felinia	2010	2	4	60	10	564	6.48	4167	2.60	1100	Area Majority / Influence. Area Movement. Auction/Bidding. Set Collection	Family Games. Strategy Games
639	American Megafauna	1997	1	4	360	9	343	6.88	4168	3.79	591	Auction/Bidding. Simulation. Variable Player Powers	Strategy Games
259809	Sonar Family	2018	2	4	45	8	301	7.04	4169	2	788	Grid Movement. Hidden Movement. Line Drawing. Role Playing. Secret Unit Deployment. Simulation. Simultaneous Action Selection. Team-Based Game	
121193	Cover Your Assets	2011	2	6	45	8	843	6.34	4170	1.15	1805	Hand Management. Set Collection. Take That	
153625	Han	2014	2	5	45	10	271	7.14	4171	2.27	524	Area Majority / Influence. Card Drafting. Hand Management. Network and Route Building	Strategy Games
140795	Say Bye to the Villains	2012	3	8	45	14	648	6.35	4172	2.17	1483	Cooperative Game. Hand Management	Thematic Games
171356	Argonauts	2015	1	4	60	10	325	7.09	4173	2.09	678	Cooperative Game. Hand Management. Point to Point Movement. Simultaneous Action Selection. Solo / Solitaire Game. Storytelling. Turn Order: Claim Action. Variable Player Powers	Thematic Games
295945	Exit: The Game - The Cemetery of the Knight	2020	1	4	120	12	261	7.32	4174	3	936	Cooperative Game	
